epoch,train_loss,pixel,mae,percep,id,ssim,val_loss,lr
1,0.11724102878686482,0.012896747904945908,0.0777564698519303,0.54847217968256,0.5190892487619453,0.3653052200954196,,0.0001
2,0.0947209616256591,0.008017138643280831,0.061132330501775106,0.480654398882022,0.41018324525275146,0.2842331632512895,,0.0001
3,0.08876619208453154,0.007202628310890551,0.05740854615946353,0.45585449711333603,0.382336555752221,0.2641389264183261,,0.0001
4,0.08537373912175046,0.006765091692880883,0.05538928721891037,0.441429106763155,0.3649621096528716,0.25277185681573383,,0.0001
5,0.08269849182914103,0.00635473211552507,0.05329680864546732,0.43091568145508513,0.35163114276658775,0.24406198014896152,0.08008259270460374,0.0001
6,0.0808779832754568,0.006143076104569329,0.05235639426138741,0.42319759777241434,0.34051909170912,0.2377431587326662,,0.0001
7,0.07924773027845682,0.005901152783147448,0.05108230867131796,0.41660469572393394,0.3332200344996089,0.23245675521306514,,0.0001
8,0.07790520866937344,0.005705780617974251,0.04999345119263693,0.41130421640324244,0.32535164453077164,0.22816143647391754,,0.0001
9,0.07657210128547887,0.005476781117278521,0.0486566247916637,0.4063937146234744,0.31938681768395333,0.22396416911429678,,0.0001
10,0.07549441325051084,0.00531377438761481,0.04768715165495099,0.40221965515826086,0.3136839672826484,0.22053117347304593,0.07699229933561817,0.0001
11,0.07463689777559361,0.005210611306401075,0.04708773473721462,0.39865032504984393,0.3086783261531949,0.21765696041201463,,0.0001
12,0.07375649534878313,0.0050603846669939724,0.046178033216169624,0.39530007833406644,0.30400034443534174,0.2150829491874194,,0.0001
13,0.07313554805237045,0.0049910029291508895,0.04583042336558407,0.3925765168338386,0.30053031560474314,0.2129854673891052,,0.0001
14,0.07239338256587761,0.004870753317378533,0.04508944276291605,0.38980048962504976,0.2966950643246139,0.2106668413941246,,0.0001
15,0.07196354330479615,0.004851597183530417,0.045120622609505,0.387472537580147,0.2932792775683117,0.20919836089135763,0.0716652139059959,0.0001
16,0.07136259733954357,0.004755370706248865,0.04440453575208566,0.3852458738237378,0.29063146270364765,0.20735869966024711,,0.0001
17,0.07078982034405298,0.004659319904027582,0.04373512517606516,0.3831397666198894,0.2875200318386914,0.20567809699806633,,0.0001
18,0.07044089976184952,0.004634614258203082,0.04370721729360581,0.38135515240351614,0.28510664487967036,0.20448980947754178,,0.0001
19,0.06989951716129165,0.004529848438197055,0.04287978601936293,0.37952582748241515,0.28274203463785075,0.2030168583366048,,0.0001
20,0.06956045835534024,0.004503489258386666,0.04286528270347482,0.3779038457468611,0.28015692830327266,0.20178485776462277,0.06941725801556341,0.0001
21,0.06913719221804672,0.004431749939332857,0.0422617031904345,0.3764145331550842,0.27777880100560537,0.20060029577590657,,0.0001
22,0.06874593180367297,0.00435636449617302,0.04163487510064336,0.37506552535672244,0.2761098195465109,0.1995842787686198,,0.0001
23,0.06850235229675058,0.0043352203599495796,0.04159806941362699,0.37386939349785037,0.2747976569220351,0.19872407946053355,,0.0001
